Nummer,Liste,Item,Expectancy,Particle,Context,Start sentence,FortsetzungI,FortsetzungII,FortsetzungIII,FortsetzungIV
1,1,1,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. Peter war enttäuscht über seine Note. Trotz des Fleißes und der Nachhilfe hatte er nur eine ungenügende Bewertung erhalten.,Peter,ist leider wieder durchgefallen.,überraschte mit einem guten Resultat.,hat gut abgeschnitten.,"hat nicht bestanden,"
2,2,1,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. Peter war sehr gespannt auf seine Note und öffnete zitternd seinen Umschlag. Als er sah, dass er eine 1 bekommen hatte, strahlte er vor Freude.",Peter,fiel ein Stein vom Herzen als er seine gute Note sah.,"ist nun sehr glücklich, weil er eine 1 bekommen hat.",muss leider die 8. Klasse aufgrund des schlechten Ergebnis wiederholen.,"ist stolz, dass er zu den 3 Besten gehört."
3,2,2,high,OH,"Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. Heute Heute hat Eva beschlossen, sich von all den Orten fernzuhalten, an denen sie gemeinsame Erinnerungen mit Richard hat.",Heute,fühlt sie sich endlich etwas besser.,steht er vor plötzlich vor ihrer Tür.,hat sie ihn zufällig gesehen.,will sie noch die Andenken entsorgen.
4,1,2,medium,OH,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. Heute ist es für beide in Ordnung, sich zu treffen und miteinander zu plaudern, ohne dass alte Gefühle wieder hochkommen.",Heute,sehen sie sich zum ersten Mal zufällig im Park wieder.,sehen sie sich wieder.,"haben sie sich zum ersten Mal wiedergetroffen, ganz zufaellig, und sie stellten fest, dass ein gewisser Funken nach wie vor da war.",treffen sie sich zufällig beim einkaufen an.
5,1,3,high,OH,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. Nur Tims Volvo schafft es, ihn jeden Tag aufs Neue zu begeistern und stolz zu machen.",Tims Volvo,ist eigentlich gar nicht verdreckt.,wäscht gern sein Auto.,wird gut gepflegt.,ist das Liebste was er hat
6,2,3,medium,OH,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. Tims Volvo ist geräumig genug, um seine vier Kinder bequem zu transportieren und bietet zudem eine luxuriöse Ausstattung.",Tims Volvo,ist rießig.,ist groß und sehr schick.,ist viel größer als sein alter Kia.,hat genügend Platz für 8 Personen.
7,2,4,high,OH,"Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei. Chefarzt Neugebauer , der als erfahrener Herzchirurg im Krankenhaus von Mannheim tätig ist, wurde gestern von der Ethik-Kommission zur jährlichen Kontrolle besucht.",Chefarzt Neugebauer,bestand die Kontrolle wie immer mit Bravour.,hat bestanden.,findet diesen Besuch für besonders wichtig.,"war überhaupt nicht nervös, kannte er doch diesen Ablauf ganz genau."
8,1,4,medium,OH,"Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei. Chefarzt Neugebauer präsentiere stolz die niedrige Mortalitätsrate seiner Operationen und erklärte ausführlich die ethischen Grundsätze, die er in seiner Arbeit verfolgt.",Chefarzt Neugebauer,hat mi(t) glänzenden Bewertungen bestanden.,bestand die Kontrolle ohne Tadel.,besteht die Kontrolle.,war daher aufgeregt.
9,1,5,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung. Harz-IV-Empfänger freuen sich sehr über das 9-Euro-Ticket, da sie dadurch kostengünstig durch ganz Deutschland reisen können und somit ihre Mobilität erhöhen.",Harz-IV-Empfänger,werden damit ein wenig entlastet.,werden so sehr gut entlastet.,"wird damit ermöglicht, sowohl zur Arbeitssuche als auch zur Freizeit mobil zu sein.","können es kaum erwarten, mehr ÖV fahren zu können."
10,2,5,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann. Harz-IV-Empfänger können sich über diese neue Regelung freuen, da sie nun günstiger und flexibler reisen können.",Harz-IV-Empfänger,profitieren davon sehr.,bekommen es nicht.,profitieren besonders davon.,bekommen so ein Ticket gratis.
