Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
1,1,high,RA,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Nur Peter,Peter,nur,nur,unexpected,1,hat die Prüfung nicht bestanden.,gpt-5.2-chat-latest,1.0,1
1,2,high,EW,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,2,Ausgerechnet Peter hat die beste Note der Klasse bekommen.,gpt-5.2-chat-latest,1.0,1
1,3,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Peter,Peter,ohne,ohne,unexpected,3,Peter ist enttäuscht über seine schlechte Note.,gpt-5.2-chat-latest,1.0,1
1,4,medium,RA,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Nur Peter,Peter,nur,nur,unexpected,4,Nur Peter hatte eine schlechte Note bekommen.,gpt-5.2-chat-latest,1.0,1
1,5,medium,EW,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,5,Ausgerechnet Peter hatte dabei die schlechteste Note der Klasse.,gpt-5.2-chat-latest,1.0,1
1,6,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Peter,Peter,ohne,ohne,unexpected,6,"Peter war erleichtert, als er seine gute Note sah.",gpt-5.2-chat-latest,1.0,1
2,1,high,RA,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Auch heute,heute ,auch,auch,unexpected,2,"Auch heute hofft sie, ihm nicht zu begegnen.",gpt-5.2-chat-latest,1.0,1
2,2,high,EW,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,3,Ausgerechnet heute läuft sie ihm zufällig über den Weg.,gpt-5.2-chat-latest,1.0,1
2,3,high,OH,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Heute,heute ,ohne,ohne,unexpected,4,"Heute versucht sie, nach vorne zu schauen und ihr Leben neu zu ordnen.",gpt-5.2-chat-latest,1.0,1
2,4,medium,RA,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Auch heute,heute ,auch,auch,unexpected,5,Auch heute haben sie kaum noch Kontakt zueinander.,gpt-5.2-chat-latest,1.0,1
