Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
1,1,high,RA,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Nur Peter,Peter,nur,nur,unexpected,1,hatte eine sehr niedrige Punktzahl und konnte seine Enttäuschung kaum verbergen.,gpt-3.5-turbo-16k,1.0,2
1,2,high,EW,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,2,hatte die niedrigste Punktzahl in der Klasse und war sehr enttäuscht von seinem Ergebnis.,gpt-3.5-turbo-16k,1.0,2
1,3,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Peter,Peter,ohne,ohne,unexpected,3,"war nervös, als sein Lehrer seine Prüfung vor ihm auf den Tisch legte. Als er jedoch sah, dass er eine Drei mit Lob erhalten hatte, strahlte er vor Freude.",gpt-3.5-turbo-16k,1.0,2
1,4,medium,RA,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Nur Peter,Peter,nur,nur,unexpected,4,Nur Peter hat die Matheprüfung mit einer Note von 1 bestanden. Er strahlt vor Freude und ist sehr stolz auf sich.,gpt-3.5-turbo-16k,1.0,2
1,5,medium,EW,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,5,bekam die beste Note in der Klasse.,gpt-3.5-turbo-16k,1.0,2
1,6,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Peter,Peter,ohne,ohne,unexpected,6,"konnte sein Glück kaum fassen, als er sah, dass er die Matheprüfung mit einer glatten Eins bestanden hatte. Er strahlte vor Stolz und Erleichterung.",gpt-3.5-turbo-16k,1.0,2
2,1,high,RA,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Auch heute,heute ,auch,auch,unexpected,2,kann Eva Richard nicht aus ihrem Kopf verbannen und sehnt sich nach einem Neuanfang.,gpt-3.5-turbo-16k,1.0,2
2,2,high,EW,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,3,steht Richard unerwartet vor ihrer Tür.,gpt-3.5-turbo-16k,1.0,2
2,3,high,OH,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Heute,heute ,ohne,ohne,unexpected,4,"Heute hat Eva beschlossen, dass sie einen Neuanfang machen möchte und sich daher von allen Erinnerungen an Richard trennt.",gpt-3.5-turbo-16k,1.0,2
2,4,medium,RA,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Auch heute,heute ,auch,auch,unexpected,5,sind Eva und Richard glücklich in ihren neuen Beziehungen und freuen sich über die schönen Erinnerungen an ihre gemeinsame Zeit zurückblickend.,gpt-3.5-turbo-16k,1.0,2
