Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
1,1,high,RA,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Nur Peter,Peter,nur,nur,unexpected,1,hatte eine bessere Note als erwartet. Er hatte sich besonders angestrengt und es hat sich gelohnt.,gpt-3.5-turbo-16k,1.0,0
1,2,high,EW,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,2,hat die beste Note in der Klasse geschrieben. Er war total überrascht und stolz auf sich.,gpt-3.5-turbo-16k,1.0,0
1,3,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Peter,Peter,ohne,ohne,unexpected,3,war enttäuscht über seine Note. Trotz des Fleißes und der Nachhilfe hatte er nur eine ungenügende Bewertung erhalten.,gpt-3.5-turbo-16k,1.0,0
1,4,medium,RA,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Nur Peter,Peter,nur,nur,unexpected,4,"erhielt in der Matheprüfung eine Eins, was ihn sehr stolz und erleichtert machte.",gpt-3.5-turbo-16k,1.0,0
1,5,medium,EW,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,5,hat die beste Note in der Klasse erreicht und alle anderen Schülerinnen und Schüler überrascht.,gpt-3.5-turbo-16k,1.0,0
1,6,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Peter,Peter,ohne,ohne,unexpected,6,"war sehr gespannt auf seine Note und öffnete zitternd seinen Umschlag. Als er sah, dass er eine 1 bekommen hatte, strahlte er vor Freude.",gpt-3.5-turbo-16k,1.0,0
2,1,high,RA,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Auch heute,heute ,auch,auch,unexpected,2,"denkt Eva immer noch an Richard, aber sie weiß tief im Inneren, dass die Trennung die beste Entscheidung für sie war.",gpt-3.5-turbo-16k,1.0,0
2,2,high,EW,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,3,"steht er plötzlich vor ihrer Tür und bittet um eine Aussprache. Eva fühlt sich überfordert und weiß nicht, wie sie mit der unerwarteten Situation umgehen soll.",gpt-3.5-turbo-16k,1.0,0
2,3,high,OH,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Heute,heute ,ohne,ohne,unexpected,4,"Heute hat Eva beschlossen, sich von all den Orten fernzuhalten, an denen sie gemeinsame Erinnerungen mit Richard hat.",gpt-3.5-turbo-16k,1.0,0
2,4,medium,RA,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Auch heute,heute ,auch,auch,unexpected,5,denken sie ab und zu noch an die gemeinsame Zeit zurück und schätzen die Erinnerungen an ihre Beziehung.,gpt-3.5-turbo-16k,1.0,0
2,5,medium,EW,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,6,Ausgerechnet heute haben sich Eva und Richard zufällig in der Stadt getroffen.,gpt-3.5-turbo-16k,1.0,0
